Date,Time,Booking ID,Customer ID,Booking Status,Vehicle Type,Pickup Location,Drop Location,Vehicle Turn Around Time,Customer Turn Around Time,Cancelled Ride by Customer,Cancelled Ride by Driver,Reason of Cancellation By Customer,Reason of Cancellation By Driver,Incomplete Rides,Reason for Incomplete Ride,Booking Amount,Payment Method,Ride Distance,Driver rating,Customer rating,Driver ID,Wait Time,Surge Multiplier
2024-08-09,23:16:03,BIDA0AFYMZW,CID2A1C24IN,Completed,SUV,Samuelbury,Andreachester,7.66,7.93,No,No,None,None,Complete,None,265.64,Wallet,37.16,4.7,4.3,DIDZQJWDDM5,17.92,2.0
2025-02-23,05:24:17,BIDK57HTPKX,CIDTD67H6MQ,Completed,Bike,Harrisshire,Simpsontown,28.24,11.75,No,No,None,None,Complete,None,78.61,Wallet,26.8,4.8,4.0,DIDD43MQ4HE,0.67,1.0
2024-09-06,04:45:11,BID5HOAF2V9,CID70YBSYSS,Completed,Sedan,Kevinhaven,Stanleyton,20.32,12.44,No,No,None,None,Complete,None,680.99,Wallet,16.08,3.8,4.4,DIDTJJTSTMM,19.01,1.0
2024-11-30,06:08:25,BIDZTUXF8BV,CID9S5V44CX,Completed,Auto,Mcmahonbury,New Robert,28.69,6.75,No,No,None,None,Complete,None,88.36,Credit Card,5.79,3.4,3.8,DIDSM7ZXPU7,5.55,2.0
2024-10-23,02:30:19,BIDRN41NDBH,CID0JQ5IUL0,Completed,SUV,Emilychester,Christinafurt,15.24,3.18,No,No,None,None,Complete,None,455.77,Wallet,38.05,3.5,4.1,DIDXNMNP295,13.01,1.2
2024-12-23,21:25:26,BID0DN18FNS,CIDMSODLMGV,Completed,Auto,Christineton,Cherylhaven,28.38,8.62,No,No,None,None,Complete,None,409.35,Net Banking,29.65,3.3,4.7,DIDSK746UBT,17.77,1.0
2025-02-06,02:27:43,BID5XPPKKA1,CIDZ7KAXMS4,Completed,Auto,Seanburgh,New Barbarafort,15.51,10.72,No,No,None,None,Complete,None,541.65,Cash,11.06,4.5,3.4,DIDLVNV0RYC,2.86,1.0
2024-11-24,12:17:49,BIDI0SCP7M0,CIDNEC70N09,Completed,SUV,Johnfort,Stanleyton,10.6,14.84,No,No,None,None,Complete,None,71.68,Net Banking,16.47,3.2,4.8,DID59WSEZMW,3.19,1.0
2024-10-08,23:13:40,BIDQ5QHNCWC,CIDQHNPQN5A,Completed,Auto,East Christopher,Coreyburgh,19.05,14.75,No,No,None,None,Complete,None,57.23,UPI,33.73,4.0,4.5,DID3DDQQS1U,8.2,2.0
2024-11-23,09:56:19,BID4RIPMG8L,CIDBUXURU9E,Completed,Mini,Seanburgh,East Ashley,10.01,13.7,No,No,None,None,Complete,None,758.36,Cash,30.29,4.8,5.0,DIDSCFQ6VVN,13.23,2.0
2024-10-29,02:07:27,BID1ISOW4UA,CIDIZGYT5C3,Incomplete,SUV,New Kevinberg,Stanleyton,25.64,14.54,No,No,None,None,Incomplete,Vehicle issue,264.65,Wallet,17.47,4.9,3.3,DID1BY0SQ3N,15.5,1.0
2024-07-24,12:45:39,BIDJAQP4VL4,CIDQK2PJ5ZO,Completed,Bike,Lake Lisatown,Katieland,28.97,9.27,No,No,None,None,Complete,None,157.4,UPI,31.45,4.1,4.1,DIDMFXIBDFC,6.48,1.0
2024-07-15,23:44:11,BIDKMAPSECK,CIDHKPGSIZK,Completed,Mini,New Barbarafort,New Kevinberg,13.08,8.95,No,No,None,None,Complete,None,123.41,Net Banking,39.64,3.9,4.4,DIDH9SA27PI,14.21,1.5
2024-08-24,23:49:22,BIDYLBIXZ5G,CIDAGEVA24S,Completed,Mini,Kennethburgh,Cherylhaven,29.66,4.02,No,No,None,None,Complete,None,80.3,Net Banking,22.88,3.6,4.9,DIDGU5KAWWZ,0.2,1.0
2024-08-22,22:08:35,BID1XG40Y9F,CIDPMSZYCYW,Completed,Mini,Simpsontown,Davisland,5.15,5.59,No,No,None,None,Complete,None,612.45,Credit Card,21.03,5.0,3.4,DIDCP3L4I0Y,17.49,1.0
2025-01-05,01:08:10,BIDX40XE9CK,CIDDNPLMJ3Y,Completed,Bike,Jonathanland,Martinezmouth,11.73,10.2,No,No,None,None,Complete,None,580.45,Credit Card,3.53,4.8,4.0,DIDJGQDNFTN,0.59,1.5
2025-06-04,09:47:47,BIDDJGFPH27,CID8YH1TW78,Completed,Sedan,North Alejandrostad,New Leslieville,15.78,1.57,No,No,None,None,Complete,None,462.84,Wallet,3.29,3.9,3.3,DIDH7JUCJLE,6.48,1.0
2025-01-24,16:47:19,BIDHQH2AGRU,CIDBEN2W0DQ,Completed,SUV,North Brian,Moorefurt,6.23,14.99,No,No,None,None,Complete,None,551.92,Cash,13.39,3.2,3.5,DIDH2HS2QX0,9.76,2.0
2025-02-07,18:04:23,BIDW6HY2TI9,CIDZ1TNJ0V2,Completed,Auto,Robertsmouth,North Alejandrostad,8.17,5.75,No,No,None,None,Complete,None,644.69,Net Banking,35.55,5.0,4.8,DIDOUJ257UI,13.85,1.5
2024-11-26,17:30:53,BIDLG87LZSG,CIDE122YVU9,Completed,Bike,Cherylhaven,Andreachester,22.26,12.21,No,No,None,None,Complete,None,677.42,Wallet,22.58,3.1,4.9,DID1PKWHUL5,13.04,1.5
2025-06-09,10:02:06,BID1WF5CEHB,CIDCVCYKJ8S,Completed,Sedan,Samuelbury,Robertsmouth,5.68,13.39,No,No,None,None,Complete,None,307.41,UPI,28.94,4.9,3.3,DID0OSEQK8P,14.96,2.0
2024-08-26,20:01:04,BIDFW8HO2LB,CIDJFC0EJW4,Completed,Sedan,New Harold,West Emily,21.61,4.33,No,No,None,None,Complete,None,638.23,Net Banking,18.85,3.5,4.4,DIDHMPVLV0D,17.75,1.0
2025-02-12,16:03:25,BIDRVRZXFLL,CIDBQW8NDTI,Cancelled,Sedan,Kennethburgh,New Robert,10.93,2.29,Yes,No,Change of plans,None,Complete,None,705.84,UPI,46.99,4.6,3.9,DIDGQFWQH9S,1.09,1.0
2024-07-30,06:35:55,BID5O68E56V,CIDK5Y1LGL9,Completed,Mini,Mcmahonbury,New Kristin,17.32,4.59,No,No,None,None,Complete,None,59.81,Net Banking,31.28,4.5,3.3,DIDENI8HHUG,15.16,1.5
2025-03-28,15:50:39,BIDWZQHSBQ7,CIDZRJ64ZMN,Completed,Mini,Kimberlyfurt,Christineton,25.79,4.76,No,No,None,None,Complete,None,149.07,Credit Card,28.75,4.1,3.2,DID9HBBEFUN,12.87,1.5
2024-07-11,14:07:40,BID6D7U9CCD,CIDS0ZU6KYV,Completed,Auto,New Leslieville,Port Carltown,23.56,3.7,No,No,None,None,Complete,None,720.5,Cash,33.45,3.1,3.6,DID20BMAB0Z,4.8,1.0
2024-08-19,23:40:16,BIDRYN0XUOJ,CID50D18L7F,Completed,SUV,Harrisshire,Kennethburgh,22.86,2.32,No,No,None,None,Complete,None,119.03,Net Banking,18.79,4.3,3.4,DID1N6E2ANZ,14.57,1.0
2025-04-04,14:47:29,BID2CPC95WP,CIDOWW0B9FA,Completed,SUV,Jonesberg,Seanburgh,14.52,14.74,No,No,None,None,Complete,None,468.31,Cash,33.84,4.6,3.3,DID7MUAEUSH,2.33,1.0
2025-05-28,22:48:24,BIDMVYDZLSI,CID7BOVGXR6,Completed,Mini,Cherylhaven,Emilychester,20.59,11.35,No,No,None,None,Complete,None,550.8,Cash,49.05,3.6,3.9,DIDJZDWHWUC,12.47,2.0
2024-07-15,09:11:18,BIDXN6QOXMY,CIDLIKWL9I3,Cancelled,Auto,New Barbarafort,Moorefurt,28.68,2.11,No,Yes,None,Other,Complete,None,192.47,Cash,46.36,3.4,4.6,DIDREQUV7QS,15.06,1.2
2024-11-11,12:40:08,BIDOSIICE4O,CIDRH64MO73,Completed,Sedan,Mcmahonbury,Jonathanland,5.41,7.43,No,No,None,None,Complete,None,529.24,UPI,31.02,3.3,4.9,DID1EST9DQR,16.34,1.0
2024-11-19,00:41:20,BID1KM3XB7S,CIDZ09UP2AN,Completed,Bike,East Austinberg,Port Carltown,12.8,7.71,No,No,None,None,Complete,None,273.72,Credit Card,30.87,3.1,4.7,DID99U3H42A,16.18,2.0
2025-02-17,01:01:31,BIDN035FOXQ,CID37BPIK8B,Completed,Sedan,East Ashley,New Leslieville,12.71,6.4,No,No,None,None,Complete,None,77.18,UPI,48.87,3.4,3.4,DIDTFBYFSYS,15.96,1.0
2024-08-23,12:33:48,BIDPR6CLL7U,CIDQFEW2W6W,Completed,SUV,South Emmaview,Johnfort,29.42,4.5,No,No,None,None,Complete,None,323.97,Cash,6.28,4.8,3.2,DIDLT8DUHAI,1.17,1.0
2024-09-16,13:07:28,BIDM6O5UJSU,CIDF2L40ZP2,Completed,Bike,Port Jeremyberg,Christinafurt,28.75,9.52,No,No,None,None,Complete,None,490.36,Cash,7.42,3.3,3.2,DIDNKHAEBYO,6.53,1.5
2024-07-14,12:17:45,BID04C3A4G6,CIDD31OMSAC,Completed,Mini,Jonesberg,Lake Lisatown,9.85,3.23,No,No,None,None,Complete,None,645.39,Credit Card,3.08,4.2,3.7,DIDFSWMLVXJ,4.97,1.2
2024-09-21,02:02:42,BIDI2EKS0N9,CIDVLLSI8E5,Completed,Sedan,Gibsonport,New Robert,23.64,5.04,No,No,None,None,Complete,None,559.49,Net Banking,37.35,3.5,3.5,DIDTLZBA5JD,17.76,1.5
2024-12-13,05:05:09,BIDRRJ461NU,CIDIG0FI7WY,Completed,Auto,Kimberlyfurt,Mcmahonbury,5.82,5.73,No,No,None,None,Complete,None,740.57,Net Banking,10.27,4.5,3.6,DIDS9O4LCXX,7.89,2.0
2025-01-03,15:33:57,BID3S1VRS6N,CIDKEVLIYIA,Completed,Auto,Kennethburgh,New Kristin,12.6,12.31,No,No,None,None,Complete,None,290.29,Net Banking,31.08,3.4,4.9,DIDWSBI0DKU,4.25,1.0
2024-10-01,17:23:14,BIDDQYTA09D,CIDMVKMEV5J,Cancelled,SUV,Thomasfort,Christinafurt,16.09,8.52,Yes,No,Change of plans,None,Complete,None,514.51,Wallet,15.87,4.8,4.1,DIDTEPBVKM2,19.18,1.0
2024-09-27,21:21:19,BIDXG75O2YU,CIDRTULQJTN,Cancelled,Bike,West Emily,New Leslieville,16.19,9.63,Yes,No,Driver delayed,None,Complete,None,286.53,UPI,41.68,4.9,4.9,DIDKHQJRQHT,19.68,1.0
2024-12-15,00:29:52,BIDLTATIGFX,CIDFND3FUEE,Completed,Auto,Kennethburgh,Emilychester,8.02,6.44,No,No,None,None,Complete,None,754.26,Net Banking,46.28,4.1,4.4,DIDQLZEJ189,0.5,1.5
2024-08-31,14:05:33,BID67QJA89L,CIDAAH8ZU7B,Completed,Sedan,Robertsmouth,New Barbarafort,6.88,4.83,No,No,None,None,Complete,None,160.9,UPI,46.94,3.6,4.2,DIDQ1U3BU9I,5.01,1.0
2025-01-04,15:42:36,BIDDSGJ1HMX,CIDKQNLZGHB,Completed,Bike,North Alejandrostad,New Kristin,28.76,6.15,No,No,None,None,Complete,None,65.79,Net Banking,37.79,3.4,3.7,DIDMRS8O1EW,15.66,1.0
